
0.0.0	1.*.*	河北省石家庄市
2.0.0	2.16.*	河北省
2.17.0	2.17.*	河北省保定市
2.18.0	2.172.*	河北省
2.173.0	2.173.*	河北省安新市
2.174.0	2.*.*	河北省
3.0.0	3.120.*	河北省保定市
3.121.0	3.121.*	河北省定州市
3.122.0	3.*.*	河北省保定市
4.0.0	5.*.*	河北省唐山市
6.0.0	6.*.*	河北省秦皇岛市
7.0.0	7.*.*	河北省廊坊市
8.0.0	8.225.*	河北省邯郸市
8.226.0	9.*.*	河北省
10.0.0	10.*.*	河北省沧州市
11.0.0	11.5.*	河北省
11.6.0	11.6.*	河北省泊头市
11.7.0	11.*.*	河北省
12.0.0	12.12.*	河北省张家口市
12.13.0	12.13.*	河北省保定市
12.14.0	12.*.*	河北省张家口市
13.0.0	13.232.*	河北省
13.233.0	13.235.*	河北省承德市
13.236.0	13.*.*	河北省
14.0.0	14.*.*	河北省邢台市
15.0.0	15.151.*	河北省衡水市
15.152.0	15.*.*	河北省
16.0.0	23.*.*	欧洲
24.0.0	27.*.*	上海市
28.0.0	28.*.*	菲律宾
29.0.0	29.127.*	欧洲
29.128.0	29.143.*	韩国
29.144.0	29.151.*	日本
29.152.0	29.159.*	印度尼西亚
29.160.0	29.191.*	日本
29.192.0	29.223.*	欧洲
29.224.0	29.231.*	印度尼西亚
29.232.0	29.239.*	印度
29.240.0	29.247.*	澳大利亚
29.248.0	29.*.*	欧洲
30.0.0	30.145.*	中国
30.146.0	30.146.*	贵州省贵阳市
30.147.0	30.*.*	中国
31.0.0	31.47.*	广东省
31.48.0	31.51.*	广东省肇庆市
31.52.0	31.55.*	广东省
31.56.0	31.59.*	广东省云浮市
31.60.0	31.159.*	广东省
31.160.0	31.161.*	广东省深圳市
31.162.0	31.162.*	广东省深圳市福田区
31.163.0	31.163.*	广东省深圳市
31.164.0	31.179.*	广东省
31.180.0	31.180.*	广东省茂名市
31.181.0	31.215.*	广东省
31.216.0	31.219.*	广东省广州市
31.220.0	31.231.*	广东省
31.232.0	31.237.*	广东省茂名市
31.238.0	31.*.*	广东省
32.0.0	32.127.*	福建省福州市
32.128.0	32.*.*	福建省厦门市
33.0.0	33.127.*	福建省泉州市
33.128.0	33.*.*	福建省莆田市
34.0.0	34.45.*	福建省
34.46.0	34.63.*	福建省漳州市
34.64.0	34.127.*	福建省龙岩市
34.128.0	34.128.*	福建省漳州市
34.129.0	34.144.*	福建省
34.145.0	34.151.*	福建省漳州市
34.152.0	34.*.*	福建省
35.0.0	35.2.57	福建省福州市
35.2.58	35.2.58	福建省福州市福清市
35.2.59	35.63.*	福建省福州市
35.64.0	35.136.*	福建省
35.137.0	35.165.*	福建省宁德市
35.166.0	35.191.*	福建省
35.192.0	35.250.*	福建省三明市
35.251.0	37.7.*	福建省
37.8.0	37.8.*	福建省泉州市
37.9.0	37.27.*	福建省
37.28.0	37.70.*	福建省泉州市
37.71.0	37.134.*	福建省
37.135.0	37.135.1	福建省泉州市
37.135.2	37.135.2	福建省泉州市晋江市
37.135.3	37.135.*	福建省泉州市
37.136.0	38.*.*	福建省
39.0.0	39.63.*	福建省福州市
39.64.0	39.210.*	福建省
39.211.0	39.212.*	福建省三明市
39.213.0	41.94.*	福建省
41.95.0	41.95.*	福建省厦门市
41.96.0	41.97.*	福建省
41.98.0	41.98.*	福建省泉州市
41.99.0	41.*.*	福建省
42.0.0	42.102.*	福建省厦门市
42.103.0	42.216.*	福建省
42.217.0	42.217.*	福建省泉州市
42.218.0	43.*.*	福建省
44.0.0	44.167.*	中国
44.168.0	44.168.*	福建省宁德市
44.169.0	47.*.*	中国
48.0.0	48.7.*	北京市
48.8.0	48.8.*	北京市顺义区
48.9.0	48.14.*	北京市
48.15.0	48.19.*	北京市朝阳区
48.20.0	48.*.*	北京市
49.0.0	49.*.*	中国
50.0.0	50.31.*	孟加拉国
50.32.0	50.47.*	新加坡
50.48.0	50.63.*	马来西亚
50.64.0	50.159.*	韩国
50.160.0	50.167.*	日本
50.168.0	50.175.*	欧洲
50.176.0	50.183.*	孟加拉国
50.184.0	50.191.*	越南
50.192.0	50.207.*	日本
50.208.0	50.223.*	欧洲
50.224.0	51.*.*	日本
52.0.0	54.*.*	欧洲
55.0.0	55.*.*	中国
56.0.0	61.*.*	欧洲
62.0.0	62.66.*	湖北省
62.67.0	62.67.*	湖北省十堰市
62.68.0	62.*.*	湖北省
63.0.0	63.*.*	欧洲
64.0.0	64.103.*	江苏省
64.104.0	64.107.*	江苏省泰州市
64.108.0	64.*.*	江苏省
65.0.0	65.39.*	河北省唐山市
65.40.0	65.85.*	河北省
65.86.0	65.86.*	河北省秦皇岛市
65.87.0	65.95.*	河北省
65.96.0	65.103.*	河北省邯郸市
65.104.0	65.111.*	河北省
65.112.0	65.119.*	河北省承德市
65.120.0	65.135.*	河北省
